id,name,code,division_id/id,region_id/id,numeric_code,source_id/id,system,country_id/id,type_id/id
base.state_us_46,Vermont,VT,hc_base.division_us_1,hc_base.region_us_1,50,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,hc_base.state_type_us_state
base.state_us_47,Virginia,VA,hc_base.division_us_5,hc_base.region_us_3,51,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,hc_base.state_type_us_state
base.state_us_48,Washington,WA,hc_base.division_us_9,hc_base.region_us_4,53,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,hc_base.state_type_us_state
base.state_us_49,West Virginia,WV,hc_base.division_us_5,hc_base.region_us_3,54,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,hc_base.state_type_us_state
base.state_us_50,Wisconsin,WI,hc_base.division_us_3,hc_base.region_us_2,55,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,hc_base.state_type_us_state
base.state_us_51,Wyoming,WY,hc_base.division_us_8,hc_base.region_us_4,56,base.us_census,www.census.gov/geo/reference/gtc/gtc_census_divreg.html,base.us,hc_base.state_type_us_state
base.state_us_52,American Samoa,AS,hc_base.division_us_10,hc_base.region_us_5,60,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_uuss
base.state_us_53,Guam,GU,hc_base.division_us_10,hc_base.region_us_5,66,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_uuss
base.state_us_54,Commonwealth of the Northern Mariana Islands,MP,hc_base.division_us_10,hc_base.region_us_5,69,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_uuss
base.state_us_55,Puerto Rico,PR,hc_base.division_us_10,hc_base.region_us_5,72,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_uuss
base.state_us_56,U.S. Minor Outlying Islands,UM,hc_base.division_us_10,hc_base.region_us_5,74,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_moit
base.state_us_57,U.S. Virgin Islands,VI,hc_base.division_us_10,hc_base.region_us_5,78,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_uuss
base.state_us_58,Federated States of Micronesia,FM,hc_base.division_us_10,hc_base.region_us_5,64,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_fas
base.state_us_59,Marshall Islands,MH,hc_base.division_us_10,hc_base.region_us_5,68,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_fas
base.state_us_60,Palau,PW,hc_base.division_us_10,hc_base.region_us_5,70,base.us_census,www.census.gov/geo/reference/ansi_statetables.html,base.us,hc_base.state_type_us_fas


