id,"code","name","definition","comments","is_active","source_id/id","system"
hc_location.serv_del_role_type_rhpi,"RHPI","physical impairment center","Description: A location that plays the role of delivering services which may include adaptation, rehabilitation and social integration services for people with physical impairments.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhpih,"RHPIH","physical impairment - hearing center","Description: A location that plays the role of delivering services for people with hearing impairments.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhpims,"RHPIMS","physical impairment - motor skills center","Description: A location that plays the role of delivering services for people with motor skill impairments.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhpivs,"RHPIVS","physical impairment - visual skills center","Description: A location that plays the role of delivering services for people with visual skill impairments.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhyad,"RHYAD","youths with adjustment difficulties center","Description: A location that plays the role of delivering services which may include life training and/or social support services for the adaption, rehabilitation and social integration of youths with adjustment difficulties.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hu,"HU","Hospital unit","Hospital unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_bmtu,"BMTU","Bone marrow transplant unit","Bone marrow transplant unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_ccu,"CCU","Coronary care unit","Coronary care unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_chest,"CHEST","Chest unit","A specialty unit in hospital that focuses on chronic respirator patients and pulmonary failure","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_epil,"EPIL","Epilepsy unit","Epilepsy unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_er,"ER","Emergency room","The section of a health care facility for providing rapid treatment to victims of sudden illness or trauma.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_etu,"ETU","Emergency trauma unit","Emergency trauma unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hd,"HD","Hemodialysis unit","Hemodialysis unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hlab,"HLAB","hospital laboratory","Description: A location that plays the role of delivering services which may include tests done based on clinical specimens to get health information about a patient as pertaining to the diagnosis, treatment and prevention of disease. Hospital laboratories may be further divided into specialized units such as Anatomic Pathology, Microbiology, and Biochemistry.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_inlab,"INLAB","inpatient laboratory","Description: A location that plays the role of delivering services which may include tests are done on clinical specimens to get health information about a patient pertaining to the diagnosis, treatment, and prevention of disease for a hospital visit longer than one day.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_outlab,"OUTLAB","outpatient laboratory","Description: A location that plays the role of delivering services which may include tests are done on clinical specimens to get health information about a patient pertaining to the diagnosis, treatment, and prevention of disease for same day visits.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hrad,"HRAD","radiology unit","Description: A location that plays the role of delivering services which may include the branch of medicine that uses ionizing and non-ionizing radiation to diagnose and treat diseases. The radiology unit may be further divided into subspecialties such as Imaging, Cardiovascular, Thoracic, and Ultrasound.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_huscs,"HUSCS","specimen collection site","Description: A location that plays the role of delivering services which may include collecting specimens and/or samples from patients for laboratory testing purposes, but does not perform any tests or analysis functions.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_icu,"ICU","Intensive care unit","Intensive care unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedicu,"PEDICU","Pediatric intensive care unit","Pediatric intensive care unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pednicu,"PEDNICU","Pediatric neonatal intensive care unit","Pediatric neonatal intensive care unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_inpharm,"INPHARM","inpatient pharmacy","Description: A location that plays the role of delivering services which may include providing judicious, safe, efficacious, appropriate and cost effective use of medicines for treatment of patients for visits longer than one day. The distinction between inpatient pharmacies and retail (or outpatient) pharmacies is that they are part of a patient's continuity of care while staying in the hospital.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_mbl,"MBL","medical laboratory","Description: A location that plays the role of delivering services which include biochemistry, hematology, microbiology, immunochemistry, and toxicology.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_nccs,"NCCS","Neurology critical care and stroke unit","Neurology critical care and stroke unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_ns,"NS","Neurosurgery unit","Neurosurgery unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_outpharm,"OUTPHARM","outpatient pharmacy","Description: A location that plays the role of delivering services which may include providing judicious, safe, efficacious, appropriate and cost effective use of medicines for treatment of patients for outpatient visits and may also be used for discharge prescriptions.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedu,"PEDU","Pediatric unit","Pediatric unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_phu,"PHU","Psychiatric hospital unit","(X12N 273R00000N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rhu,"RHU","Rehabilitation hospital unit","Rehabilitation hospital unit","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_sleep,"SLEEP","Sleep disorders unit","(X12N 261QA1200N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_nccf,"NCCF","Nursing or custodial care facility","Nursing or custodial care facility","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_snf,"SNF","Skilled nursing facility","(X12N 314000000N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_of,"OF","Outpatient facility","Outpatient facility","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_all,"ALL","Allergy clinic","Allergy clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_amput,"AMPUT","Amputee clinic","Amputee clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_bmtc,"BMTC","Bone marrow transplant clinic","Bone marrow transplant clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_breast,"BREAST","Breast clinic","Breast clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_canc,"CANC","Child and adolescent neurology clinic","Child and adolescent neurology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_capc,"CAPC","Child and adolescent psychiatry clinic","Child and adolescent psychiatry clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_card,"CARD","Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation: Cardiac Facilities","Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation: Cardiac Facilities","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedcard,"PEDCARD","Pediatric cardiology clinic","Pediatric cardiology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_coag,"COAG","Coagulation clinic","Coagulation clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_crs,"CRS","Colon and rectal surgery clinic","Colon and rectal surgery clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_derm,"DERM","Dermatology clinic","Dermatology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_endo,"ENDO","Endocrinology clinic","Endocrinology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pede,"PEDE","Pediatric endocrinology clinic","Pediatric endocrinology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_ent,"ENT","Otorhinolaryngology clinic","Otorhinolaryngology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_fmc,"FMC","Family medicine clinic","Family medicine clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_gi,"GI","Gastroenterology clinic","Gastroenterology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedgi,"PEDGI","Pediatric gastroenterology clinic","Pediatric gastroenterology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_gim,"GIM","General internal medicine clinic","General internal medicine clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_gyn,"GYN","Gynecology clinic","Gynecology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hem,"HEM","Hematology clinic","Hematology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedhem,"PEDHEM","Pediatric hematology clinic","Pediatric hematology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_htn,"HTN","Hypertension clinic","Hypertension clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_iec,"IEC","Impairment evaluation center","Focuses on assessing disability","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_infd,"INFD","Infectious disease clinic","Infectious disease clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedid,"PEDID","Pediatric infectious disease clinic","Pediatric infectious disease clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_inv,"INV","Infertility clinic","Infertility clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_lymph,"LYMPH","Lympedema clinic","Lympedema clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_mgen,"MGEN","Medical genetics clinic","Medical genetics clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_neph,"NEPH","Nephrology clinic","Nephrology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedneph,"PEDNEPH","Pediatric nephrology clinic","Pediatric nephrology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_neur,"NEUR","Neurology clinic","Neurology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_ob,"OB","Obstetrics clinic","Obstetrics clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_oms,"OMS","Oral and maxillofacial surgery clinic","Oral and maxillofacial surgery clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_oncl,"ONCL","Medical oncology clinic","Medical oncology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedho,"PEDHO","Pediatric oncology clinic","Pediatric oncology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_oph,"OPH","Opthalmology clinic","Opthalmology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_optc,"OPTC","optometry clinic","Description: A location that plays the role of delivering services which may include examination, diagnosis, treatment, management, and prevention of diseases and disorders of the eye as well as prescribing and fitting appropriate corrective lenses (glasses or contact lenses) as needed. Optometry clinics may also provide tests for visual field screening, measuring intra-ocular pressure and ophthalmoscopy, as and when required.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_ortho,"ORTHO","Orthopedics clinic","Orthopedics clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_hand,"HAND","Hand clinic","Hand clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_paincl,"PAINCL","Pain clinic","(X12N 261QP3300N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pc,"PC","Primary care clinic","(X12N 261QP2300N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedc,"PEDC","Pediatrics clinic","Pediatrics clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pedrheum,"PEDRHEUM","Pediatric rheumatology clinic","Pediatric rheumatology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pod,"POD","Podiatry clinic","(X12N 261QP1100N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_prev,"PREV","Preventive medicine clinic","Preventive medicine clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_procto,"PROCTO","Proctology clinic","Proctology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_proff,"PROFF","Provider's Office","Location where healthcare service was delivered, identified as the healthcare provider's practice office.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pros,"PROS","Prosthodontics clinic","Prosthodontics clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_psi,"PSI","Psychology clinic","Psychology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_psy,"PSY","Psychiatry clinic","Psychiatry clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rheum,"RHEUM","Rheumatology clinic","Rheumatology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_spmed,"SPMED","Sports medicine clinic","Sports medicine clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_su,"SU","Surgery clinic","Surgery clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pls,"PLS","Plastic surgery clinic","Plastic surgery clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_uro,"URO","Urology clinic","Urology clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_tr,"TR","Transplant clinic","Transplant clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_travel,"TRAVEL","Travel and geographic medicine clinic","Travel and geographic medicine clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_wnd,"WND","Wound clinic","Wound clinic","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_rtf,"RTF","Residential treatment facility","Residential treatment facility","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_prc,"PRC","Pain rehabilitation center","Pain rehabilitation center","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_surf,"SURF","Substance use rehabilitation facility","(X12N 324500000N)","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_daddr,"DADDR","Delivery Address","Location address where medical supplies were transported to for use.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_mobl,"MOBL","Mobile Unit","Location (mobile) where healthcare service was delivered.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_amb,"AMB","Ambulance","Location (mobile) where healthcare service was delivered, identified specifically as an ambulance.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_pharm,"PHARM","Pharmacy","Location where healthcare service was delivered, identified as a pharmacy.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_acc,"ACC","accident site","Location of an accident where healthcare service was delivered, such as a roadside.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_comm,"COMM","Community Location","Community location where healthcare is delivered.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_csc,"CSC","community service center","Description: A location that plays the role of delivering services which may include providing front-line services to the population of a defined geographic area such as: healthcare services and social services, preventive or curative, rehabilitation or reintegration.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_ptres,"PTRES","Patient's Residence","location where healthcare was delivered which is the residence of the Patient.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_school,"SCHOOL","school","Location where healthcare service was delivered, identified as a school or educational facility.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_upc,"UPC","underage protection center","Description: A location that plays the role of delivering services which may include: social emergency services required for a young person as required under any jurisdictional youth laws, child placement, and family mediation in the defined geographical area the SDL is responsible for. It may provide expertise in a judiciary setting on child custody, adoption and biological history research.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
hc_location.serv_del_role_type_work,"WORK","work site","Location where healthcare service was delivered, identified as a work place.","","","base.hl7fhir","http://hl7.org/fhir/ValueSet/v3-ServiceDeliveryLocationRoleType"
