id,"code","name","definition","hierarchy_id/id","contains_id/id","source_id/id","system"
hc_patient.breed_43529009,"43529009","Chartreux cat","Chartreux cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_73271003,"73271003","Domestic leopard cat","Domestic leopard cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_8419007,"8419007","Domestic longhaired cat","Domestic longhaired cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_409914009,"409914009","Domestic medium-haired cat","Domestic medium-haired cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_15020009,"15020009","Domestic shorthaired cat","Domestic shorthaired cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_21637005,"21637005","Egyptian mau cat","Egyptian mau cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132650003,"132650003","Harlequin cat breed","Harlequin cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_3354004,"3354004","Havana brown cat","Havana brown cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_703805004,"703805004","Highlander cat breed","Highlander cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_441929006,"441929006","Himalayan cat breed","Himalayan cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_26382003,"26382003","Japanese bobtail cat","Japanese bobtail cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_10701001,"10701001","Javanese cat","Javanese cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_27125003,"27125003","Korat cat","Korat cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132668000,"132668000","LaPerm Longhair cat breed","LaPerm Longhair cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132667005,"132667005","LaPerm Shorthair cat breed","LaPerm Shorthair cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_40547002,"40547002","Longhaired manx","Longhaired manx (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_81866001,"81866001","Maine coon cat","Maine coon cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132652006,"132652006","Maltese cat breed","Maltese cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_3995008,"3995008","Manx","Manx (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132651004,"132651004","Manxamese cat breed","Manxamese cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132653001,"132653001","Mixed breed cat","Mixed breed cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132670009,"132670009","Munchkin Longhair cat breed","Munchkin Longhair cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132669008,"132669008","Munchkin Shorthair cat breed","Munchkin Shorthair cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132671008,"132671008","Nebelung cat breed","Nebelung cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132672001,"132672001","Norwegian Forest cat breed","Norwegian Forest cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_63972001,"63972001","Ocicat","Ocicat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132673006,"132673006","Oriental Longhair cat breed","Oriental Longhair cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_68086001,"68086001","Persian cat","Persian cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_417277001,"417277001","Pixie-bob cat breed","Pixie-bob cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132675004,"132675004","Ragamuffin cat breed","Ragamuffin cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132654007,"132654007","Ragdoll cat breed","Ragdoll cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_1809004,"1809004","Rex cat breed","Rex cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_84797007,"84797007","Russian blue cat","Russian blue cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_73049001,"73049001","Scottish fold cat","Scottish fold cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132665002,"132665002","Shorthair cat breed","Shorthair cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_65694005,"65694005","Siamese cat","Siamese cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132677007,"132677007","Siberian cat breed","Siberian cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_10136006,"10136006","Singapura cat","Singapura cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132678002,"132678002","Snowshoe cat breed","Snowshoe cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132679005,"132679005","Sokoke cat breed","Sokoke cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_4042003,"4042003","Somali cat","Somali cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132680008,"132680008","Sphynx cat breed","Sphynx cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_44855006,"44855006","Tonkinese cat","Tonkinese cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_50441005,"50441005","Turkish angora cat","Turkish angora cat (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_132655008,"132655008","Turkish van cat breed","Turkish van cat breed (organism)","hc_patient.species_448169003","hc_patient.breed_448169003","base.snomed","http://snomed.info"
hc_patient.breed_47290002,"47290002","chicken","Gallus gallus (organism) aka domestic fowl ancestor, red junglefowl",,,"base.snomed","http://hl7.org/fhir/ValueSet/animal-breeds"
hc_patient.breed_132817001,"132817001","Ameraucana chicken breed","Ameraucana chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_69575001,"69575001","Ancona chicken","Ancona chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_78375007,"78375007","Andalusian chicken","Andalusian chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132730006,"132730006","Appenzell Bearded Hen chicken breed","Appenzell Bearded Hen chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_10643004,"10643004","Arucana chicken","Arucana chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132818006,"132818006","Åsbos chicken breed","Åsbos chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_131996005,"131996005","Aseel chicken breed","Aseel chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132819003,"132819003","Augsburger chicken breed","Augsburger chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_131999003,"131999003","Australian Gamefowl chicken breed","Australian Gamefowl chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_54251000,"54251000","Australorp chicken","Australorp chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132000009,"132000009","Ayam Cemani chicken breed","Ayam Cemani chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_131995009,"131995009","Baheij chicken breed","Baheij chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_131997001,"131997001","Bandara chicken breed","Bandara chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_409910000,"409910000","Bantam","Bantam (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_65873005,"65873005","Barnevelder chicken","Barnevelder chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_30221007,"30221007","Belgian bearded chicken","Belgian bearded chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132820009,"132820009","Bielefelder chicken breed","Bielefelder chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132003006,"132003006","Brabanter chicken breed","Brabanter chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132004000,"132004000","Braekel chicken breed","Braekel chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_57364006,"57364006","Brahma chicken","Brahma chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_39571003,"39571003","Buckeye chicken","Buckeye chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_33607002,"33607002","Buttercup chicken","Buttercup chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_82249009,"82249009","California chicken","California chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_76268003,"76268003","Campine chicken","Campine chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_131998006,"131998006","Catalana chicken breed","Catalana chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_63257005,"63257005","Chantecler chicken","Chantecler chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_65767004,"65767004","Cochin chicken","Cochin chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_71238008,"71238008","Commercial brown egg layer type chicken","Commercial brown egg layer type chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_32540008,"32540008","Commercial meat type chicken","Commercial meat type chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_22330003,"22330003","Commercial white egg layer type chicken","Commercial white egg layer type chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_61839006,"61839006","Cornish chicken","Cornish chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_12874007,"12874007","Crevecoeur chicken","Crevecoeur chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_70326005,"70326005","Cubalaya chicken","Cubalaya chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_11830008,"11830008","Delaware chicken","Delaware chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_359839008,"359839008","Domestic fowl","Domestic fowl (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_52882006,"52882006","Dominique chicken","Dominique chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_61204004,"61204004","Dorking chicken","Dorking chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_29546006,"29546006","Faverolle chicken","Faverolle chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_5114005,"5114005","Fayoumi chicken","Fayoumi chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132816005,"132816005","Frieslands chicken breed","Frieslands chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_91427000,"91427000","Frizzle chicken","Frizzle chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132848009,"132848009","Gallus Inauris chicken breed","Gallus Inauris chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_70429002,"70429002","Game chicken","Game chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132715002,"132715002","Gimmizah chicken breed","Gimmizah chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132850001,"132850001","Golden Montazah chicken breed","Golden Montazah chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132007007,"132007007","Gotland chicken breed","Gotland chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132713009,"132713009","Gray chicken breed","Gray chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132847004,"132847004","Green chicken breed","Green chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132008002,"132008002","Groninger Meeuwen chicken breed","Groninger Meeuwen chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132714003,"132714003","Hamburgs chicken breed","Hamburgs chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132822001,"132822001","Hedemora chicken breed","Hedemora chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_56764001,"56764001","Holland chicken","Holland chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_82848009,"82848009","Houdan chicken","Houdan chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_80204002,"80204002","Hungarian chicken","Hungarian chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132823006,"132823006","Hungarian Yellow chicken breed","Hungarian Yellow chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132824000,"132824000","Iowa blue chicken breed","Iowa blue chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_2333000,"2333000","Japanese chicken","Japanese chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_47745005,"47745005","Java chicken","Java chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_42840001,"42840001","Jersey giant chicken","Jersey giant chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_41437006,"41437006","Jungle fowl chicken","Jungle fowl chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132826003,"132826003","Ko Shamo chicken breed","Ko Shamo chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132827007,"132827007","Kraienkoppe chicken breed","Kraienkoppe chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_29615001,"29615001","La Fleche chicken","La Fleche chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_7767003,"7767003","Lamona chicken","Lamona chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_70308007,"70308007","Langshan chicken","Langshan chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_49407004,"49407004","Lankenvelder chicken","Lankenvelder chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_35839008,"35839008","Leghorn chicken","Leghorn chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132828002,"132828002","Lincolnshire Buff chicken breed","Lincolnshire Buff chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_78154009,"78154009","Malay chicken","Malay chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132832008,"132832008","Maline chicken breed","Maline chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132831001,"132831001","Manx Rumpies chicken breed","Manx Rumpies chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_2253004,"2253004","Marans chicken","Marans chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132696006,"132696006","Matrouh chicken breed","Matrouh chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_42602001,"42602001","Minorca chicken","Minorca chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_406723001,"406723001","Mixed breed chicken","Mixed breed chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132833003,"132833003","Nankin chicken breed","Nankin chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_54218009,"54218009","New Hampshire chicken","New Hampshire chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132821008,"132821008","Norfolk Gray chicken breed","Norfolk Gray chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132834009,"132834009","Øland chicken breed","Øland chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132729001,"132729001","Old English Game chicken breed","Old English Game chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132830000,"132830000","Onagadori chicken breed","Onagadori chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_70210006,"70210006","Orloff chicken","Orloff chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_18299006,"18299006","Orpington chicken","Orpington chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132836006,"132836006","Orust chicken breed","Orust chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132837002,"132837002","Penedesenca chicken breed","Penedesenca chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_33224000,"33224000","Phoenix chicken","Phoenix chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_41290008,"41290008","Plymouth Rock chicken","Plymouth Rock chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_61843005,"61843005","Polish chicken","Polish chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132825004,"132825004","Red jungle fowl type chicken","Red jungle fowl type chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_12419001,"12419001","Redcap chicken","Redcap chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_5350006,"5350006","Rhode Island red chicken","Rhode Island red chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132838007,"132838007","Rhode Island White chicken breed","Rhode Island White chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_80886008,"80886008","Rosecomb chicken","Rosecomb chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_112495005,"112495005","Rumpless chicken","Rumpless chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132840002,"132840002","Sablepoot chicken breed","Sablepoot chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132841003,"132841003","Saipan Jungle Fowl chicken breed","Saipan Jungle Fowl chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132842005,"132842005","Scots Dumpy chicken breed","Scots Dumpy chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_67021006,"67021006","Sebright chicken","Sebright chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132862002,"132862002","Shamo chicken breed","Shamo chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_48255007,"48255007","Silkie chicken","Silkie chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132726008,"132726008","Silver Montazah chicken breed","Silver Montazah chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_13156006,"13156006","Spanish chicken","Spanish chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_57950004,"57950004","Spitzhauben chicken","Spitzhauben chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132728009,"132728009","Styrian chicken breed","Styrian chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132752002,"132752002","Sulmtaler chicken breed","Sulmtaler chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_68412000,"68412000","Sultan chicken","Sultan chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_87833007,"87833007","Sumatra chicken","Sumatra chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_80993008,"80993008","Sussex chicken","Sussex chicken (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
hc_patient.breed_132753007,"132753007","Svart Höna chicken breed","Svart Höna chicken breed (organism)","hc_patient.species_47290002","hc_patient.breed_47290002","base.snomed","http://snomed.info"
