id,"code","name","definition","source_id/id","system","contains_id/id","level","level_name"
hc_patient.species_420959003,"420959003","moss animal","Phylum Ectoprocta (organism) Microscopic marine invertebrate filter feeder","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421307008,"421307008","entoprocta","Phylum Entoprocta (organism) Microscopic goblet-shaped animal with a crown of tentacles","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106681006,"106681006","hairyback","Phylum Gastrotricha (organism) Microscopic worm-like animal","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_420812006,"420812006","acorn worm","Phylum Hemichordata (organism)","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106682004,"106682004","mud dragon","Phylum Kinorhyncha (organism) Microscopic segmented limbless invertebrate","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_420541005,"420541005","loricifera","Phylum Loricifera (organism) Very small to microscopic marine sediment-dwelling animals","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106877009,"106877009","mollusk","Phylum Mollusca (organism) Includes squid, cuttlefish and octopus, snail, slug, mussel, clam","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106877009,"106877009","myxozoa","Phylum Myxozoa (organism) Tiny aquatic, obligately parasitic cnidarian invertebrate","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106683009,"106683009","horsehair worm","Phylum Nematomorpha (organism) Parasitoid invertebrate aka Gordian worm","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421844004,"421844004","nemertea","Phylum Nemertea (organism) ribbon worm or proboscis worm","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421536007,"421536007","velvet worm","Phylum Onychophora (organism)","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421370009,"421370009","orthonectid","Phylum Orthonectida (organism) Microsopic marine parasite","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421370009,"421370009","horseshoe worm","Phylum Phoronida (organism) Filter-feeding marine invertebrate","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_420882002,"420882002","placazoa","Phylum Placozoa (organism) Basal invertebrate","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106685002,"106685002","flatworm","Phylum Platyhelminthes (organism) Relatively simple bilaterian, unsegmented, soft-bodied invertebrate","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106902003,"106902003","sponge","Phylum Porifera (organism) Multicellular aquatic invertebrate with a body full of pores","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_420619004,"420619004","penis worm","Phylum Priapula (organism) Marine worm","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421670001,"421670001","rhombozoa","Phylum Rhombozoa (organism) aka dicyemida. Tiny parasite that lives in the renal appendages of cephalopods","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_106684003,"106684003","wheel animal","Phylum Rotifera (organism) aka rotifer. Microscopic and near-microscopic pseudocoelomate invertebrate","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421894003,"421894003","sipunculid or peanut worm","Phylum Sipuncula (organism) Bilaterally symmetrical, unsegmented marine worm","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421103002,"421103002","water bear or moss piglet","Phylum Tardigrada (organism) Aquatic, eight-legged, segmented microorganism","base.snomed","http://snomed.info",hc_patient.species_387961004,4,"Phylum"
hc_patient.species_421133009,"421133009","crustacean","Subphylum Crustacea (organism) Includes shrimp, crab, lobster, water flea","base.snomed","http://snomed.info",hc_patient.species_106762008,5,"Subphylum"
hc_patient.species_422179001,"422179001","tunicate","Subphylum Tunicata (organism) Includes sea squirt, sea port, sea liver, sea tulip","base.snomed","http://snomed.info",hc_patient.species_387965008,5,"Subphylum"
hc_patient.species_387967000,"387967000","vertebrate","Subphylum Vertebrata (organism) Includes fish, amphibian, reptle, bird, mammal","base.snomed","http://snomed.info",hc_patient.species_387965008,5,"Subphylum"
hc_patient.species_90580008,"90580008","fish","Fish (organism)","base.snomed","http://snomed.info",hc_patient.species_387967000,7,"Superclass"
hc_patient.species_387977003,"387977003","jawless fish","Superclass Agnatha (organism)","base.snomed","http://snomed.info",hc_patient.species_387967000,7,"Superclass"
hc_patient.species_387978008,"387978008","bony fish","Superclass Osteichthyes (organism)","base.snomed","http://snomed.info",hc_patient.species_387967000,7,"Superclass"
hc_patient.species_107298006,"107298006","cartilaginous fish","Class Chondrichthyes (organism) Incudes shark, ray","base.snomed","http://snomed.info",hc_patient.species_90580008,8,"Class"
hc_patient.species_76222001,"76222001","arachnid","Class Arachnida (organism)","base.snomed","http://snomed.info",hc_patient.species_106762008,8,"Class"
hc_patient.species_106867007,"106867007","chilopod","Class Chilopoda (organism)","base.snomed","http://snomed.info",hc_patient.species_106762008,8,"Class"
hc_patient.species_444846009,"444846009","diplopod","Class Diplopoda (organism)","base.snomed","http://snomed.info",hc_patient.species_106762008,8,"Class"
hc_patient.species_106763003,"106763003","insect","Class Insecta (organism)","base.snomed","http://snomed.info",hc_patient.species_106762008,8,"Class"
hc_patient.species_421831009,"421831009","malacostraca","Class Malacostraca (organism)","base.snomed","http://snomed.info",hc_patient.species_106762008,8,"Class"
hc_patient.species_106869005,"106869005","pentastomid","Class Pentastomida (organism) Parasitic crustacean aka tongue worm","base.snomed","http://snomed.info",hc_patient.species_106762008,8,"Class"
hc_patient.species_421727006,"421727006","threadworm","Class Cestoda and/or Class Trematoda and/or Phylum Nemata (organism)","base.snomed","http://snomed.info",hc_patient.species_387961004,8,"Class"
hc_patient.species_387970001,"387970001","amphibian","Class Amphibia (organism) Includes frog, toad, salamander, caecilian","base.snomed","http://snomed.info",hc_patient.species_387967000,8,"Class"
hc_patient.species_387972009,"387972009","bird","Class Aves (organism) Includes canary Includes parakeet Includes covid Includes parrot","base.snomed","http://snomed.info",hc_patient.species_387967000,8,"Class"
hc_patient.species_387976007,"387976007","mammal","Class Mammalia (organism)","base.snomed","http://snomed.info",hc_patient.species_387967000,8,"Class"
hc_patient.species_107241004,"107241004","reptile","Class Reptilia (organism)","base.snomed","http://snomed.info",hc_patient.species_387967000,8,"Class"
hc_patient.species_420262007,"420262007","branchiopoda","Class Branchiopoda (organism) Mostly small, freshwater animals that feed on plankton and detritus. Includes fairy shrimp, clam shrimp, Cladocera, Notostraca and the Devonian Lepidocaris.","base.snomed","http://snomed.info",hc_patient.species_421133009,8,"Class"
hc_patient.species_420504009,"420504009","cephalocarida","Class Cephalocarida (organism) aka horseshoe shrimp","base.snomed","http://snomed.info",hc_patient.species_421133009,8,"Class"
hc_patient.species_421142002,"421142002","maxillopoda","Class Maxillopoda (organism) Includes barnacle, copepod","base.snomed","http://snomed.info",hc_patient.species_421133009,8,"Class"
hc_patient.species_420250008,"420250008","ostracoda","Class Ostracoda (organism) aka seed shrimp","base.snomed","http://snomed.info",hc_patient.species_421133009,8,"Class"
hc_patient.species_420591009,"420591009","remipedia","Class Remipedia (organism) Small, marine, cave-dwelling crustaceans characterized by a short head and a long trunk bearing setose swimming appendages","base.snomed","http://snomed.info",hc_patient.species_421133009,8,"Class"
hc_patient.species_420792004,"420792004","winged insect","Subclass Pterygota (organism)","base.snomed","http://snomed.info",hc_patient.species_106763003,9,"Subclass"
hc_patient.species_422289009,"422289009","lissamphibia","Subclass Lissamphibia (organism)","base.snomed","http://snomed.info",hc_patient.species_387970001,9,"Subclass"
hc_patient.species_387999006,"387999006","prototheria","Subclass Prototheria (organism) Includes monotreme, marsupial, placental","base.snomed","http://snomed.info",hc_patient.species_387976007,9,"Subclass"
hc_patient.species_388004009,"388004009","theria","Subclass Theria (organism) Includes marsupial","base.snomed","http://snomed.info",hc_patient.species_387976007,9,"Subclass"
hc_patient.species_420671007,"420671007","phyllopoda","Subclass Phyllopoda (organism)","base.snomed","http://snomed.info",hc_patient.species_420262007,9,"Subclass"
hc_patient.species_710267008,"710267008","branchiura","Subclass Branchiura (organism)","base.snomed","http://snomed.info",hc_patient.species_421142002,9,"Subclass"
hc_patient.species_420320003,"420320003","copepoda","Subclass Copepoda (organism)","base.snomed","http://snomed.info",hc_patient.species_421142002,9,"Subclass"
hc_patient.species_388033005,"388033005","eutheria","Infraclass Eutheria (organism) Includes placental mammali","base.snomed","http://snomed.info",hc_patient.species_388004009,10,"Infraclass"
hc_patient.species_388006006,"388006006","metatheria","Infraclass Metatheria (organism) aka marsupial","base.snomed","http://snomed.info",hc_patient.species_388004009,10,"Infraclass"
hc_patient.species_422168006,"422168006","neocopepoda","Infraclass Neocopepoda (organism)","base.snomed","http://snomed.info",hc_patient.species_420320003,10,"Infraclass"
hc_patient.species_420522007,"420522007","modern wing-folding insect","Infraclass Neoptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420792004,10,"Infraclass"
hc_patient.species_71352007,"71352007","shark","Shark (organism) aka Superorder Euselachii","base.snomed","http://snomed.info",hc_patient.species_107298006,11,"Superorder"
hc_patient.species_388007002,"388007002","marsupial","Superorder Marsupalia (organism) Includes kangaroo, wallaby, koala, possum opossum wombat, Tasmanian devil","base.snomed","http://snomed.info",hc_patient.species_388006006,11,"Superorder"
hc_patient.species_420469000,"420469000","gymnoplea","Superorder Gymnoplea (organism)","base.snomed","http://snomed.info",hc_patient.species_422168006,11,"Superorder"
hc_patient.species_422247001,"422247001","podoplea","Superorder Podoplea (organism)","base.snomed","http://snomed.info",hc_patient.species_422168006,11,"Superorder"
hc_patient.species_107302003,"107302003","bullhead shark","Order Heterodontiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_71352007,12,"Order"
hc_patient.species_107299003,"107299003","hexanchiformes","Order Hexanchiformes (organism) Includes frill shark, cow shark","base.snomed","http://snomed.info",hc_patient.species_71352007,12,"Order"
hc_patient.species_107304002,"107304002","squaliforme","Order Squaliformes (organism) Includes dogfish shark","base.snomed","http://snomed.info",hc_patient.species_71352007,12,"Order"
hc_patient.species_420814007,"420814007","spider","Order Araneae (organism)","base.snomed","http://snomed.info",hc_patient.species_76222001,12,"Order"
hc_patient.species_107257004,"107257004","crocodilian","Order Crocodilia (organism) Mostly large, semiaquatic predatory reptile. Includes crocodile, alligator","base.snomed","http://snomed.info",hc_patient.species_107241004,12,"Order"
hc_patient.species_107255007,"107255007","tautara","Order Rhynchocephalia (organism) Lizard-like reptile","base.snomed","http://snomed.info",hc_patient.species_107241004,12,"Order"
hc_patient.species_107261005,"107261005","scaled reptile","Order Squamata (organism) Includes snake, lizard, iguana","base.snomed","http://snomed.info",hc_patient.species_107241004,12,"Order"
hc_patient.species_448557001,"448557001","testudines","Order Testudines (organism) Includes turtle","base.snomed","http://snomed.info",hc_patient.species_107241004,12,"Order"
hc_patient.species_107323009,"107323009","chimaeriformes","Order Chimaeriformes (organism)","base.snomed","http://snomed.info",hc_patient.species_107298006,12,"Order"
hc_patient.species_107315007,"107315007","rajiformes","Order Rajiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_107298006,12,"Order"
hc_patient.species_107050009,"107050009","anseriformes","Order Anseriformes (organism) Includes wild goose","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107116003,"107116003","swift","Order Apodiformes (organism) Includes swift, hummingbird, hillstar","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107021002,"107021002","kiwi","Order Apterygiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_446374008,"446374008","hornbill","Order Bucerotiformes (organism) Includes hornbill, hoopoe","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107041007,"107041007","ciconiiformes","Order Ciconiiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107120004,"107120004","mousebird","Order Coliiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107097005,"107097005","pigeon","Order Columbiformes (organism) Includes pigeon, dove","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107124008,"107124008","kingfisher","Order Coraciiformes (organism) kingfisher, bee-eater, roller, motmot, tody","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_423301004,"423301004","guan","Order Craciformes (organism) Includes guan, curassow, chachalaca, brush turkey, malleefowl","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107104009,"107104009","cuckoo","Order Cuculiformes (organism) Includes cuckoo, roadruner, koel, malkoha, coua, cucal, ani","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_445250002,"445250002","puffbird","Order Galbuliformes (organism) Incudes puffbird, jacamar","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107059005,"107059005","chicken, turkey","Order Galliformes (organism) Includes chicken, turkey, grouse, quail, ptarmigan, partridge, pheasant, junglefowl, cracidae","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107067002,"107067002","crane","Order Gruiformes (organism) Includes crane, rail","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_424738007,"424738007","turaco","Order Musophagiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107142003,"107142003","perching bird","Order Passeriformes (organism) passerine including vidua, cuckoo-finch, cowbird, crow, raven, jackdaw","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107135003,"107135003","woodpecker","Order Piciformes (organism) woodpecker, barbet, toucan, honeyguide, piculet","base.snomed","http://snomed.info",hc_patient.species_387972009,12,"Order"
hc_patient.species_107294008,"107294008","hagfish","Order Myxiniformes (organism) Includes hagfish","base.snomed","http://snomed.info",hc_patient.species_387977003,12,"Order"
hc_patient.species_107296005,"107296005","lamprey","Order Petromyzontiformes (organism) Includes lamprey","base.snomed","http://snomed.info",hc_patient.species_387977003,12,"Order"
hc_patient.species_107326001,"107326001","acipenseriforme","Order Acipenseriformes (organism) Includes sturgeon, paddlefish","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107331004,"107331004","bowfin","Order Amiiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107336009,"107336009","eel","Order Anguilliformes (organism) Includes eel, moray, conger","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107404003,"107404003","atheriniforme","Order Atheriniformes (organism) Includes silverside, needlefish, killifish, flyingfish, livearer, saurie","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107386003,"107386003","toadfish","Order Batrachoidiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107411004,"107411004","beryciforme","Order Beryciformes (organism) Includes squirrelfish, beardfish","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107347002,"107347002","clupeiforme","Order Clupeiformes (organism) Includes herring, anchovy","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107372002,"107372002","cypriniforme","Order Cypriniformes (organism) Includes sucker, characin, loach","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107333001,"107333001","elopiforme","Order Elopiformes (organism) Includes tarpon","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107424004,"107424004","gadiforme","Order Gadiformes (organism) Includes codlet, vivaparus brotula, pearfish, codfish, genadier, cusk eel, eelpout","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107388002,"107388002","gasterosteiforme","Order Gasterosteiformes (organism) Includes trumpetfish, snipefish, cornetfish, stickleback, pipefish","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107418005,"107418005","clingfish","Order Gobiesociformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107390001,"107390001","lampriforme","Order Lampriformes (organism) Includes opah, crestfish, arfish, tube eye, ribbonfish","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107363005,"107363005","lophiiforme","Order Lophiiformes (organism) Includes seadevil, footballfish, frogfish, gaper, goosefish, batfish","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107345005,"107345005","myctophiforme","Order Myctophiformes (organism) Includes daggertooth, aulopus, greeneye, lanternfish, barracudina, pearleye","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107396007,"107396007","spiny eel","Order Notacanthiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107382001,"107382001","mooneye","Order Osteoglossiformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107329008,"107329008","perciforme","Order Perciformes (organism) aka percomorphi, acanthopteri. Includes cichlid, California sheephead, bluegill, damselfish, bass, perch, butterfish, snapper","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107350004,"107350004","percopsiforme","Order Percopsiformes (organism) Includes cavefish, pirate perch, trout perch","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107430004,"107430004","flatfish","Order Pleuronectiformes (organism) Includes flounder, tonguefish, sole","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107506004,"107506004","salmonid","Order Salmoniformes (organism) Includes salmon, trout, char, freshwater whitefish, and grayling","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107352007,"107352007","semionotiforme","Order Semionotiformes (organism) Extinct primitive, ray-finned, primarily freshwater fish from the Triassic to the Cretaceous. Includes semionotus","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107377008,"107377008","catfish","Order Siluriformes (organism)","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107511002,"107511002","plectognathi","Order Tetraodontiformes (organism) Highly derived ray-fined fish includes boxfish, triggerfish, porcpinefish, sunfish, filefish, pufferfish, triplespine, spikefish, three-toothed puffer","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_107414007,"107414007","zeiforme","Order Zeiformes (organism) Marine ray-finned fish including dory, tinselfish, oreo, parazen, zeniontid","base.snomed","http://snomed.info",hc_patient.species_387978008,12,"Order"
hc_patient.species_388009004,"388009004","carnivorous marsupial","Order Dasyuromorphia (organism) carnivorous marsupial including quoll, dunnart, the numbat, the Tasmanian devil, and the thylacine","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_388012001,"388012001","opposum","Order Didelphimorphia (organism)","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_388014000,"388014000","kangaroo","Order Diprotodontia (organism) Two forward teeth marsupial including kangaroo, wallaby, possum, koala, wombat","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_388024008,"388024008","monito del monte","Order Microbiotheria (organism) New World marsupial","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_388026005,"388026005","marsupial mole","Order Notoryctemorphia (organism)","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_388029003,"388029003","shrew opposum","Order Paucituberculata (organism) South American marsupial","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_388031007,"388031007","bandicoot","Order Peramelemorphia (organism) Omnivore marsupial including bandicoot and bilby","base.snomed","http://snomed.info",hc_patient.species_388006006,12,"Order"
hc_patient.species_443546008,"443546008","tenrec","Order Afrosoricida (organism) Includes tenrec, golden mole","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388414005,"388414005","even-toed ungulate","Order Artiodactyla (organism) even-toed hoofed mammal including pig, sheep, goat, cattle, hippo, whale, camel, giraffe, antelope","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388071002,"388071002","carnivore","Order Carnivora (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106981008,"106981008","whale","Order Cetacea (organism) Includes whale, dolphin, porpoise, orca","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388074005,"388074005","bat","Order Chiroptera (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_443228001,"443228001","armadillo","Order Cingulata (organism) Armored New World placental mammal including armadillo","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106918009,"106918009","colugo","Order Dermoptera (organism) Arboreal gliding mammal including flying lemur or colugo","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_443547004,"443547004","erinaceidae","Order Erinaceomorpha (organism) Includes hedgehog","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106987007,"106987007","hydrax","Order Hyracoidea (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106950004,"106950004","rabbit order","Order Lagomorpha (organism) Includes hare, rabbit, pika, mouse hare, conie","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388075006,"388075006","elephant shrew","Order Macroscelidea (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388418008,"388418008","odd-toed ungulate","Order Perissodactyla (organism) odd-toed hoofed mammal including horse, donkey, zebra, rhino, tapir","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106948007,"106948007","pangolin","Order Pholidota (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_443072009,"443072009","anteater","Order Pilosa (organism) anteater, sloth","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388073004,"388073004","primate","Order Primates (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106985004,"106985004","elephant","Order Proboscidea (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388077003,"388077003","rodent","Order Rodentia (organism) Includes gerbil Includes hamster Includes chinchilla Includes fancy rat Includes guinea pig","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_388079000,"388079000","treeshrew","Order Scandentia (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106982001,"106982001","sea cow","Order Sirenia (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_443733001,"443733001","shrew","Order Soricomorpha (organism) Includes shrew, mole","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_106983006,"106983006","aardvark","Order Tubulidentata (organism)","base.snomed","http://snomed.info",hc_patient.species_388033005,12,"Order"
hc_patient.species_421162005,"421162005","calanoida","Order Calanoida (organism)","base.snomed","http://snomed.info",hc_patient.species_420469000,12,"Order"
hc_patient.species_106765005,"106765005","coleoptera","Order Coleoptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_367378007,"367378007","diptera","Order Diptera (organism) Includes mosca, mosquito, gnat, mosquito, true fly","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_106772006,"106772006","hemiptera","Order Hemiptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_106819002,"106819002","hymenoptera","Order Hymenoptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_106807005,"106807005","lepidoptera","Order Lepidoptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_106828001,"106828001","orthoptera","Order Orthoptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_414966007,"414966007","phthiraptera","Order Phthiraptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_106803009,"106803009","siphonaptera","Order Siphonaptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_106818005,"106818005","thysanoptera","Order Thysanoptera (organism)","base.snomed","http://snomed.info",hc_patient.species_420522007,12,"Order"
hc_patient.species_421475000,"421475000","diplostraca","Order Diplostraca (organism)","base.snomed","http://snomed.info",hc_patient.species_420671007,12,"Order"
hc_patient.species_106875001,"106875001","decapod","Order Decapoda (organism) Includes crayfish, crab, lobster, prawn, shrimp","base.snomed","http://snomed.info",hc_patient.species_421831009,12,"Order"
hc_patient.species_420995006,"420995006","cyclopoida","Order Cyclopoida (organism)","base.snomed","http://snomed.info",hc_patient.species_422247001,12,"Order"
hc_patient.species_107218007,"107218007","salamander","Order Caudata (organism)","base.snomed","http://snomed.info",hc_patient.species_422289009,12,"Order"
